,Ticker,GARCH_CI,GARCH_Direction,GARCH_RMSE,FIGARCH_CI,FIGARCH_Direction,FIGARCH_RMSE,APARCH_CI,APARCH_Direction,APARCH_RMSE,HARCH_CI,HARCH_Direction,HARCH_RMSE
273,DAL,0.9060240963855422,0.553012048192771,0.2604945746986214,0.9096385542168675,0.5560240963855422,0.261057336525781,0.9042168674698795,0.5536144578313253,0.26271319085288997,0.9096385542168675,0.553012048192771,0.2599263267913425
274,UAL,0.8801204819277109,0.5259036144578313,0.3444967834336674,0.8813253012048192,0.5216867469879518,0.34364190380244114,0.8765060240963856,0.5198795180722892,0.36858184465118093,0.8843373493975903,0.5228915662650603,0.34376723935887277
275,AAL,0.8969879518072289,0.5524096385542169,0.3122882590236244,0.8963855421686747,0.5524096385542169,0.3135841418025338,0.9041591320072333,0.5518072289156627,14.591839368885008,0.8969879518072289,0.5524096385542169,0.31323465674942735
276,ALK,0.9240963855421687,0.5493975903614458,0.25620377633389907,0.9240963855421687,0.5566265060240964,0.25576022806684795,0.927710843373494,0.5439759036144578,0.2976260622277245,0.9210843373493975,0.5518072289156627,0.2589943188379687
277,JCI,0.9259036144578313,0.5548192771084337,0.14641138506238835,0.927710843373494,0.553012048192771,0.14565999785076875,0.9253012048192771,0.5512048192771084,6.363075804794441,0.9259036144578313,0.5506024096385542,0.14673680453328775
278,ALLE,0.903012048192771,0.5602409638554217,0.15243253733135204,0.9024096385542169,0.5602409638554217,0.1525304621773136,0.9,0.560843373493976,0.1638012332225686,0.9024096385542169,0.5614457831325301,0.15248556277989314
279,AOS,0.9096385542168675,0.5602409638554217,0.12655382302031237,0.9120481927710843,0.5590361445783133,0.12612525768396102,0.9113924050632911,0.5560240963855422,2.134678819386446,0.9102409638554216,0.5596385542168675,0.12662411350976213
280,TT,0.9836867862969005,0.564437194127243,0.09646374481393429,0.9869494290375204,0.5725938009787929,0.09604837000483783,0.9853181076672104,0.5742251223491027,0.0965001147205868,0.9820554649265906,0.5725938009787929,0.09588446520629204
281,MAS,0.8939759036144578,0.5524096385542169,0.1635416998951283,0.8939759036144578,0.5566265060240964,0.1640596383768694,0.8903614457831325,0.5481927710843374,0.21922908892376577,0.8945783132530121,0.555421686746988,0.1635025449797425
282,CARR,0.9931389365351629,0.5728987993138936,0.11109322727101147,0.9931389365351629,0.5711835334476844,0.11136354388253088,0.9897084048027445,0.58147512864494,0.10984938473096857,0.9931389365351629,0.5746140651801029,0.11078403096378518
283,CPRT,0.8578313253012049,0.5391566265060241,0.2650567654726567,0.8771084337349397,0.5295180722891566,0.2625082215775842,0.8722891566265061,0.5409638554216868,4.57544371279957,0.8644578313253012,0.5385542168674698,0.26422099974269486
284,RSG,0.9072847682119205,0.5418422636965683,0.13259472633902317,0.9090909090909091,0.5424443106562312,0.1321821838005894,0.9108970499698976,0.5376279349789284,0.13233488998970477,0.9054786273329319,0.5436484045755569,0.13305163860619518
285,WM,0.8879518072289156,0.5542168674698795,0.1357435906688963,0.8879518072289156,0.5542168674698795,0.13435556451133687,0.8885542168674698,0.5578313253012048,0.13500656527579252,0.8843373493975903,0.5548192771084337,0.13480727333682374
286,ROL,0.8841978287092883,0.5277442702050663,0.1763869650079441,0.8872135102533173,0.5241254523522316,0.17617296436645796,0.8811104405552203,0.5283474065138721,3.406677582781279,0.8841978287092883,0.5265379975874548,0.17659466013263203
287,CTAS,0.8650602409638555,0.5367469879518072,0.19187090401297927,0.8674698795180723,0.5343373493975904,0.19114807644904974,0.8649789029535865,0.5439759036144578,7.717380605944898,0.8686746987951808,0.5337349397590362,0.1915910965922871
288,PWR,0.8916315472606864,0.5580975316074653,0.17445660453541278,0.8874172185430463,0.5586995785671283,0.17475537374014566,0.8964479229379891,0.5574954846478025,3.361944454640374,0.893437688139675,0.5580975316074653,0.1748901629021036
289,ROK,0.8704819277108434,0.5325301204819277,0.19828041361151566,0.8680722891566265,0.5307228915662651,0.19796086832934354,0.8710843373493976,0.5355421686746988,0.2665165780962154,0.8704819277108434,0.5295180722891566,0.19853778249810575
290,AME,0.8957831325301204,0.5445783132530121,0.17096694297919454,0.8945783132530121,0.5469879518072289,0.17135332465621025,0.9065138721351025,0.5524096385542169,1.606212793095688,0.8933734939759036,0.5451807228915663,0.17085996672832232
291,GNRC,0.9060240963855422,0.536144578313253,0.20814388383566054,0.9060240963855422,0.5367469879518072,0.2085764967759061,0.9108433734939759,0.5391566265060241,3.201794422806276,0.9078313253012048,0.5373493975903615,0.20819249754502056
292,EMR,0.9144578313253012,0.5469879518072289,0.18744810879920712,0.9120481927710843,0.5481927710843374,0.1872644301106431,0.9204339963833634,0.5445783132530121,2.009939152931474,0.9168674698795181,0.5439759036144578,0.18708541577146595
293,ETN,0.9066265060240963,0.5626506024096386,0.1840583564322673,0.9018072289156627,0.5620481927710843,0.18425077617024277,0.9089813140446051,0.5590361445783133,4.272313343552097,0.9096385542168675,0.5614457831325301,0.18366455096448156
294,GE,0.8606755126658625,0.5331724969843185,0.20046593180004033,0.8606755126658625,0.5307599517490953,0.20067544908517096,0.8667068757539204,0.5355850422195416,0.31418410464455393,0.8636911942098915,0.5349819059107358,0.1999582197472347
295,HON,0.876357056694813,0.5506634499396864,0.15125049858644196,0.8757539203860072,0.5518697225572979,0.15188116015769915,0.8775633293124246,0.5470446320868516,0.15377964998002655,0.8781664656212304,0.5500603136308806,0.15077656545089022
296,MMM,0.8819277108433735,0.5439759036144578,0.1348651784409712,0.8795180722891566,0.5433734939759036,0.1353061697253002,0.8819277108433735,0.5475903614457831,0.14260953452532124,0.8873493975903615,0.5439759036144578,0.13413107158892085
297,PH,0.8933734939759036,0.5307228915662651,0.20385442371763787,0.8963855421686747,0.5301204819277109,0.20294531205846725,0.8986731001206273,0.5343373493975904,1.639002912458232,0.8963855421686747,0.5319277108433735,0.20325883758802832
298,DOV,0.8980699638118215,0.5524728588661038,0.178982464451232,0.9077201447527141,0.548854041013269,0.17826296644622877,0.9083232810615199,0.5566948130277443,0.18079571390921553,0.8974668275030157,0.5530759951749096,0.17915752053200693
299,WAB,0.8789156626506024,0.536144578313253,0.19937363412743533,0.8777108433734939,0.5373493975903615,0.19949501372210382,0.8795180722891566,0.5307228915662651,0.20928313671478938,0.8777108433734939,0.5433734939759036,0.1988966994838617
300,OTIS,0.9245283018867925,0.5317324185248714,0.09340082827463722,0.9262435677530018,0.5300171526586621,0.09220427486004863,0.9279588336192109,0.5420240137221269,1.0295635179668248,0.9245283018867925,0.5317324185248714,0.09340102601869336
301,CMI,0.908433734939759,0.5506024096385542,0.15299949766318657,0.9042168674698795,0.5536144578313253,0.15350484540112563,0.908433734939759,0.5590361445783133,0.3629917249821116,0.9090361445783133,0.5493975903614458,0.15286160160776835
302,CAT,0.8909638554216868,0.5409638554216868,0.16202485868853894,0.8933734939759036,0.5403614457831325,0.1620826926202449,0.8945783132530121,0.5439759036144578,6.0443008681004615,0.8909638554216868,0.541566265060241,0.16216412510658945
303,IR,0.9006069802731411,0.5553869499241275,0.2778889016841937,0.9119878603945372,0.5531107738998483,0.2750024959606738,0.9021244309559939,0.5546282245827011,0.28346916857561394,0.9112291350531108,0.5500758725341427,0.300005493404977
304,IEX,0.8993975903614457,0.5439759036144578,0.13430021851660695,0.8975903614457831,0.541566265060241,0.13398577339807535,0.9066265060240963,0.5469879518072289,2.686753103670091,0.9,0.5409638554216868,0.13442567194110558
305,SNA,0.8969879518072289,0.5704819277108434,0.167869636834683,0.8963855421686747,0.5734939759036145,0.16770989492358387,0.8975903614457831,0.5716867469879519,1.5143920695707127,0.8975903614457831,0.572289156626506,0.16795786581699076
306,NDSN,0.8801204819277109,0.5536144578313253,0.1979141108021855,0.8765060240963856,0.5542168674698795,0.19836371954049348,0.8758288125376733,0.558433734939759,59.494838094993305,0.8789156626506024,0.5493975903614458,0.19882698375198407
307,SWK,0.8957831325301204,0.5433734939759036,0.23134573667559383,0.8993975903614457,0.5445783132530121,0.23120304157919858,0.891500904159132,0.5433734939759036,1.3387601086896812,0.891566265060241,0.5469879518072289,0.2346421944339518
308,PNR,0.9252561784207354,0.5515370705244123,0.2182697038481818,0.9252561784207354,0.5533453887884268,0.21809782169596514,0.9258589511754068,0.5503315250150693,15.440219022854707,0.9258589511754068,0.5527426160337553,0.218496505115792
309,PCAR,0.9036144578313253,0.5379518072289157,0.1383591266250049,0.9012048192771084,0.5391566265060241,0.13733482777243491,0.9036144578313253,0.5427710843373494,0.13785256893007014,0.905421686746988,0.5313253012048192,0.1386754442188903
310,ITW,0.8759036144578313,0.5253012048192771,0.15900744477479475,0.891566265060241,0.5246987951807229,0.1578643138923378,0.8855421686746988,0.5265060240963856,1.2833814474002612,0.8837349397590362,0.5277108433734939,0.15690441591702628
311,XYL,0.8614457831325302,0.5469879518072289,0.1732201828720188,0.8626506024096385,0.5463855421686747,0.1751850810755008,0.8632530120481928,0.5469879518072289,0.21762086638488087,0.858433734939759,0.55,0.17340771857011317
312,DE,0.8813253012048192,0.5475903614457831,0.17764641659471703,0.8801204819277109,0.5445783132530121,0.17719860658069156,0.886144578313253,0.5403614457831325,11.11005823944177,0.8795180722891566,0.5481927710843374,0.17744448128387325
313,FTV,0.9017615176151762,0.5535230352303523,0.16565434402784632,0.9024390243902439,0.5609756097560976,0.16581006619612607,0.9058265582655827,0.5521680216802168,3.0715079855497587,0.9010840108401084,0.55420054200542,0.16651373747889767
314,CSGP,0.8734939759036144,0.5427710843373494,0.1777251445267331,0.8795180722891566,0.5445783132530121,0.17651196607736666,0.8825301204819277,0.5487951807228916,1.6688860752670087,0.8728915662650603,0.5427710843373494,0.17808372880489698
315,J,0.976083707025411,0.5426008968609866,0.11216128265851655,0.9715994020926756,0.5440956651718983,0.1130144704446931,0.9745889387144993,0.5396113602391629,0.5247309589909158,0.9715994020926756,0.5455904334828101,0.11374442271111386
316,LDOS,0.8975903614457831,0.5475903614457831,0.16262959519217265,0.9048192771084337,0.5445783132530121,0.16268586845034141,0.9005424954792043,0.5512048192771084,0.7171791320384873,0.8981927710843374,0.5475903614457831,0.1615419130074856
317,RHI,0.8421686746987952,0.5397590361445783,0.19815814677136231,0.8524096385542169,0.5433734939759036,0.19632214880894724,0.8475903614457831,0.536144578313253,0.1998232770158415,0.841566265060241,0.541566265060241,0.19802665844307646
318,VRSK,0.8566265060240964,0.553012048192771,0.15130710950885698,0.8572289156626506,0.5566265060240964,0.15111163197260594,0.863855421686747,0.5542168674698795,0.15201539022611524,0.8590361445783132,0.5536144578313253,0.1511527079186178
