,Ticker,GARCH_CI,GARCH_Direction,GARCH_RMSE,FIGARCH_CI,FIGARCH_Direction,FIGARCH_RMSE,APARCH_CI,APARCH_Direction,APARCH_RMSE,HARCH_CI,HARCH_Direction,HARCH_RMSE,EGARCH_CI,EGARCH_Direction,EGARCH_RMSE
14,DISH,0.974080771549126,0.5599758890898131,0.156746477297691,0.9758890898131404,0.5509342977697408,0.1558825163738491,0.971635485817743,0.5557564798071127,0.2855287002447395,0.9680530440024112,0.5521398432790838,0.2032526162016411,0.8231116849580374,0.5280289330922242,9.050977487950944e+151
15,NWSA,0.9789156626506024,0.5536144578313253,0.1190076024030674,0.980722891566265,0.5548192771084337,0.1148856562385743,0.9812575574365175,0.5560240963855422,1821331.55678299,0.9710843373493976,0.5542168674698795,0.1449010438936261,0.8764890282131661,0.5512048192771084,9.048250879216697e+151
16,IPG,0.9759036144578314,0.553012048192771,0.1134805031699225,0.9771084337349396,0.5427710843373494,0.1103515272635674,0.9740338164251208,0.541566265060241,60.01960307182636,0.9602409638554216,0.55,0.1605744162999607,0.8223383409536251,0.5403614457831325,1.1681241655837625e+152
17,CHTR,0.9740963855421688,0.5349397590361445,0.1209761332815849,0.9698795180722892,0.5319277108433735,0.1239154191258246,0.9710319855159928,0.5379518072289157,24233.80251495504,0.9536144578313251,0.5246987951807229,0.1470124421249467,0.7946718648473035,0.5259036144578313,1.4775731812513448e+152
18,PARA,0.9743589743589745,0.5384615384615384,0.1703769249889332,0.9829059829059827,0.5213675213675214,0.1676766038394358,0.9829059829059827,0.5213675213675214,0.1754052851640906,0.9401709401709402,0.4957264957264957,0.2129873089692524,0.7435897435897436,0.5128205128205128,0.6449151260538039
19,FOXA,0.9871944121071012,0.559953434225844,0.1132143442639864,0.989522700814901,0.5692665890570431,0.1109808861644688,0.9883040935672516,0.5634458672875436,10902.851467721612,0.9755529685681024,0.5634458672875436,0.1619502874870551,0.8292046936114733,0.5413271245634459,7.262087350580502e+151
20,OMC,0.9674698795180724,0.553012048192771,0.1066642583054204,0.972289156626506,0.5578313253012048,0.1062135903185656,0.9740494870247436,0.558433734939759,5056.79284217326,0.9596385542168676,0.5596385542168675,0.1420125510316448,0.8713745271122321,0.5481927710843374,1.1681241655837625e+152
21,TMUS,0.9752863170584688,0.543701024713683,0.1058289342006384,0.9776974080771548,0.5382760699216396,0.1019225404327351,0.968503937007874,0.5376732971669681,12810.197448784116,0.9662447257383966,0.5364677516576251,0.133214617636305,0.8281452658884566,0.5479204339963833,1.4780184345931524e+152
22,APTV,0.9931856899488928,0.5502555366269165,0.1489256457411244,0.9940374787052813,0.555366269165247,0.1456036132217495,0.9897523484201536,0.5545144804088586,103035.36507217112,0.98381601362862,0.561328790459966,0.2158196959786684,0.8568824065633546,0.5459965928449745,8.784944046805383e+151
23,BWA,0.9933734939759036,0.5542168674698795,0.1103991851469993,0.9957831325301204,0.55,0.1100512976212501,0.9903556359252562,0.555421686746988,0.4026925668422313,0.9855421686746988,0.541566265060241,0.1414391566098927,0.8557753669432036,0.5240963855421686,1.0448020161622054e+152
24,F,0.9759036144578314,0.5469879518072289,0.142367728461211,0.9716867469879518,0.5548192771084337,0.1467305460311792,0.9765060240963856,0.5493975903614458,0.1601615416843707,0.9680722891566264,0.55,0.1767521969343954,0.7892030848329049,0.5295180722891566,1.5672030242433081e+152
25,TSLA,0.9801204819277108,0.5506024096385542,0.2049611256451666,0.977710843373494,0.5439759036144578,0.1961171264380046,0.983112183353438,0.5493975903614458,8030.69206839469,0.9662650602409638,0.5463855421686747,0.2465307413667153,0.7921239509360878,0.5150602409638554,1.4775731812513448e+152
26,GM,0.9867469879518072,0.5427710843373494,0.1262578949192899,0.9879518072289156,0.5524096385542169,0.1216687111680078,0.9855159927579964,0.536144578313253,58.15950366831525,0.9813253012048192,0.5439759036144578,0.1722782223094692,0.8074123097286565,0.5156626506024097,1.0448020161622054e+152
