,Ticker,Start,End,NA_Count,Days,Percent_NA
359,PAYX,2016-01-04,2022-12-30,96,2552,0.0005877742946708464
360,PYPL,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
361,CTSH,2016-01-04,2022-12-30,0,2552,0.0
362,EPAM,2016-01-04,2022-12-30,0,2552,0.0
363,JKHY,2016-01-04,2022-12-30,396,2552,0.0024245689655172415
364,V,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
365,BR,2016-01-04,2022-12-30,84,2552,0.0005143025078369906
366,ADI,2016-01-04,2022-12-30,0,2552,0.0
367,QRVO,2016-01-04,2022-12-30,96,2552,0.0005877742946708464
368,INTC,2016-01-04,2022-12-30,0,2552,0.0
369,NXPI,2016-01-04,2022-12-30,60,2552,0.000367358934169279
370,FSLR,2016-01-04,2022-12-30,0,2552,0.0
371,LRCX,2016-01-04,2022-12-30,0,2552,0.0
373,AVGO,2016-01-04,2022-12-30,0,2552,0.0
374,SEDG,2016-01-04,2022-12-30,60,2552,0.000367358934169279
375,SWKS,2016-01-04,2022-12-30,0,2552,0.0
376,TER,2016-01-04,2022-12-30,0,2552,0.0
377,QCOM,2016-01-04,2022-12-30,0,2552,0.0
378,MCHP,2016-01-04,2022-12-30,0,2552,0.0
379,AMAT,2016-01-04,2022-12-30,0,2552,0.0
380,ON,2016-01-04,2022-12-30,108,2552,0.0006612460815047022
381,AMD,2016-01-04,2022-12-30,0,2552,0.0
382,TXN,2016-01-04,2022-12-30,0,2552,0.0
383,KLAC,2016-01-04,2022-12-30,816,2552,0.004996081504702194
384,MPWR,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
385,NVDA,2016-01-04,2022-12-30,0,2552,0.0
386,MU,2016-01-04,2022-12-30,0,2552,0.0
387,PAYC,2016-01-04,2022-12-30,96,2552,0.0005877742946708464
388,ORCL,2016-01-04,2022-12-30,0,2552,0.0
389,SNPS,2016-01-04,2022-12-30,372,2552,0.00227762539184953
390,PTC,2016-01-04,2022-12-30,156,2552,0.0009551332288401254
391,CRM,2016-01-04,2022-12-30,0,2552,0.0
392,FTNT,2016-01-04,2022-12-30,0,2552,0.0
393,MSFT,2016-01-04,2022-12-30,0,2552,0.0
394,NOW,2016-01-04,2022-12-30,0,2552,0.0
395,ADBE,2016-01-04,2022-12-30,0,2552,0.0
396,ANSS,2016-01-04,2022-12-30,24,2552,0.0001469435736677116
398,CDAY,2018-05-16,2022-12-30,456,1689,0.0042184724689165185
399,ADSK,2016-01-04,2022-12-30,0,2552,0.0
400,INTU,2016-01-04,2022-12-30,0,2552,0.0
401,TYL,2016-01-04,2022-12-30,0,2552,0.0
402,CDNS,2016-01-04,2022-12-30,72,2552,0.0004408307210031348
403,ROP,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
404,HPQ,2016-01-04,2022-12-30,0,2552,0.0
405,HPE,2016-01-04,2022-12-30,108,2552,0.0006612460815047022
406,WDC,2016-01-04,2022-12-30,0,2552,0.0
407,AAPL,2016-01-04,2022-12-30,0,2552,0.0
408,STX,2016-01-04,2022-12-30,0,2552,0.0
409,NTAP,2016-01-04,2022-12-30,0,2552,0.0
410,FMC,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
411,LYB,2016-01-04,2022-12-30,0,2552,0.0
412,CF,2016-01-04,2022-12-30,0,2552,0.0
413,SHW,2016-01-04,2022-12-30,0,2552,0.0
414,ALB,2016-01-04,2022-12-30,0,2552,0.0
415,DD,2016-01-04,2022-12-30,0,2552,0.0
416,CTVA,2019-06-04,2022-12-30,12,1305,0.00014367816091954023
417,APD,2016-01-04,2022-12-30,300,2552,0.001836794670846395
418,IFF,2016-01-04,2022-12-30,12,2552,7.34717868338558e-05
419,LIN,2018-11-01,2022-12-30,0,1520,0.0
420,DOW,2016-01-04,2022-12-30,60,2552,0.000367358934169279
421,PPG,2016-01-04,2022-12-30,0,2552,0.0
